#! FIELDS time phi ves1.bias
#! SET min_phi -pi
#! SET max_phi pi
 0.000000 -1.238  0.048
 1.000000 -1.484  0.050
 2.000000 -1.324  0.052
 3.000000 -1.334  0.058
 4.000000 -1.461  0.057
 5.000000 -1.220  0.055
 6.000000 -1.388  0.064
 7.000000 -1.548  0.060
 8.000000 -1.843  0.008
 9.000000 -2.242 -0.033
 10.000000 -1.148  0.054
 11.000000 -1.758  0.028
 12.000000 -1.319  0.078
 13.000000 -2.991  0.002
 14.000000 -1.411  0.085
 15.000000 -2.599 -0.006
 16.000000 -1.461  0.087
 17.000000 -1.379  0.094
 18.000000 -1.677  0.055
 19.000000 -1.524  0.089
 20.000000 -1.200  0.081
