#! FIELDS phi ves1.fes
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
   -3.141592654    0.058054069
   -3.078760801    0.055577612
   -3.015928947    0.053280413
   -2.953097094    0.051450642
   -2.890265241    0.050347852
   -2.827433388    0.050173568
   -2.764601535    0.051046112
   -2.701769682    0.052982383
   -2.638937829    0.055888667
   -2.576105976    0.059561751
   -2.513274123    0.063700685
   -2.450442270    0.067928493
   -2.387610417    0.071822175
   -2.324778564    0.074948503
   -2.261946711    0.076902507
   -2.199114858    0.077345191
   -2.136283004    0.076036998
   -2.073451151    0.072863884
   -2.010619298    0.067853398
   -1.947787445    0.061179090
   -1.884955592    0.053152538
   -1.822123739    0.044203426
   -1.759291886    0.034849157
   -1.696460033    0.025656466
   -1.633628180    0.017198220
   -1.570796327    0.010009069
   -1.507964474    0.004543730
   -1.445132621    0.001141497
   -1.382300768    0.000000000
   -1.319468915    0.001160484
   -1.256637061    0.004505813
   -1.193805208    0.009771324
   -1.130973355    0.016567515
   -1.068141502    0.024412516
   -1.005309649    0.032771472
   -0.942477796    0.041099367
   -0.879645943    0.048883582
   -0.816814090    0.055682549
   -0.753982237    0.061157268
   -0.691150384    0.065093146
   -0.628318531    0.067410550
   -0.565486678    0.068163474
   -0.502654825    0.067526823
   -0.439822972    0.065773833
   -0.376991118    0.063245986
   -0.314159265    0.060318389
   -0.251327412    0.057363948
   -0.188495559    0.054719633
   -0.125663706    0.052657876
   -0.062831853    0.051365531
    0.000000000    0.050932069
    0.062831853    0.051347723
    0.125663706    0.052511349
    0.188495559    0.054246827
    0.251327412    0.056326046
    0.314159265    0.058495948
    0.376991118    0.060506775
    0.439822972    0.062138648
    0.502654825    0.063223858
    0.565486678    0.063662758
    0.628318531    0.063431856
    0.691150384    0.062583533
    0.753982237    0.061237680
    0.816814090    0.059566381
    0.879645943    0.057773428
    0.942477796    0.056070978
    1.005309649    0.054655895
    1.068141502    0.053688288
    1.130973355    0.053274498
    1.193805208    0.053456278
    1.256637061    0.054207210
    1.319468915    0.055436655
    1.382300768    0.057000688
    1.445132621    0.058718787
    1.507964474    0.060394388
    1.570796327    0.061837069
    1.633628180    0.062883917
    1.696460033    0.063417793
    1.759291886    0.063380472
    1.822123739    0.062779258
    1.884955592    0.061686330
    1.947787445    0.060230865
    2.010619298    0.058584775
    2.073451151    0.056943555
    2.136283004    0.055504311
    2.199114858    0.054443339
    2.261946711    0.053895691
    2.324778564    0.053938996
    2.387610417    0.054583387
    2.450442270    0.055768721
    2.513274123    0.057369566
    2.576105976    0.059207580
    2.638937829    0.061070110
    2.701769682    0.062733176
    2.764601535    0.063986475
    2.827433388    0.064657768
    2.890265241    0.064634037
    2.953097094    0.063877013
    3.015928947    0.062431262
    3.078760801    0.060423670
