#! FIELDS phi ves1.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
   -3.141592654   -0.005896666   -0.080215194
   -3.078760801   -0.000853685   -0.078798154
   -3.015928947    0.003813173   -0.068234634
   -2.953097094    0.007537757   -0.048957195
   -2.890265241    0.009811159   -0.022348415
   -2.827433388    0.010239117    0.009347309
   -2.764601535    0.008591027    0.043201608
   -2.701769682    0.004835302    0.075855176
   -2.638937829   -0.000842949    0.103823766
   -2.576105976   -0.008044424    0.123829207
   -2.513274123   -0.016178893    0.133124347
   -2.450442270   -0.024507881    0.129780646
   -2.387610417   -0.032203473    0.112909933
   -2.324778564   -0.038418378    0.082797471
   -2.261946711   -0.042361148    0.040931299
   -2.199114858   -0.043369808   -0.010077685
   -2.136283004   -0.040977127   -0.066680348
   -2.073451151   -0.034961353   -0.124664229
   -2.010619298   -0.025377423   -0.179495657
   -1.947787445   -0.012565328   -0.226699423
   -1.884955592    0.002865683   -0.262242400
   -1.822123739    0.020076221   -0.282886692
   -1.759291886    0.038056256   -0.286480236
   -1.696460033    0.055700191   -0.272158096
   -1.633628180    0.071891262   -0.240435582
   -1.570796327    0.085588118   -0.193183922
   -1.507964474    0.095906191   -0.133489813
   -1.445132621    0.102186872   -0.065410603
   -1.382300768    0.104048566    0.006353666
   -1.319468915    0.101415257    0.076842678
   -1.256637061    0.094520208    0.141239122
   -1.193805208    0.083884599    0.195257466
   -1.130973355    0.070273082    0.235484258
   -1.068141502    0.054630269    0.259640559
   -1.005309649    0.038003785    0.266744261
   -0.942477796    0.021460626    0.257159290
   -0.879645943    0.006004084    0.232528932
   -0.816814090   -0.007501672    0.195601055
   -0.753982237   -0.018393078    0.149962602
   -0.691150384   -0.026249763    0.099708718
   -0.628318531   -0.030915098    0.049077358
   -0.565486678   -0.032493571    0.002082854
   -0.502654825   -0.031325980   -0.037818648
   -0.439822972   -0.027945386   -0.068002512
   -0.376991118   -0.023018439   -0.086864616
   -0.314159265   -0.017277893   -0.093911214
   -0.251327412   -0.011452753   -0.089744402
   -0.188495559   -0.006202516   -0.075947761
   -0.125663706   -0.002061400   -0.054885993
   -0.062831853    0.000602690   -0.029440119
    0.000000000    0.001611228   -0.002705318
    0.062831853    0.000978754    0.022318626
    0.125663706   -0.001102326    0.043014439
    0.188495559   -0.004293570    0.057385104
    0.251327412   -0.008155126    0.064220844
    0.314159265   -0.012198252    0.063181353
    0.376991118   -0.015940167    0.054787975
    0.439822972   -0.018955661    0.040329494
    0.502654825   -0.020920366    0.021693662
    0.565486678   -0.021641592    0.001143639
    0.628318531   -0.021074021   -0.018936409
    0.691150384   -0.019319134   -0.036299832
    0.753982237   -0.016608974   -0.049073577
    0.816814090   -0.013276406   -0.055948139
    0.879645943   -0.009715396   -0.056302893
    0.942477796   -0.006335767   -0.050255270
    1.005309649   -0.003517370   -0.038630294
    1.068141502   -0.001568567   -0.022855249
    1.130973355   -0.000693378   -0.004791915
    1.193805208   -0.000970652    0.013474900
    1.256637061   -0.002347305    0.029869528
    1.319468915   -0.004646141    0.042553395
    1.382300768   -0.007587228    0.050124603
    1.445132621   -0.010820360    0.051768152
    1.507964474   -0.013964982    0.047341185
    1.570796327   -0.016653177    0.037384579
    1.633628180   -0.018571037    0.023060019
    1.696460033   -0.019493886    0.006019535
    1.759291886   -0.019311549   -0.011778342
    1.822123739   -0.018040894   -0.028286081
    1.884955592   -0.015824261   -0.041594955
    1.947787445   -0.012913884   -0.050148667
    2.010619298   -0.009643963   -0.052919760
    2.073451151   -0.006393327   -0.049529541
    2.136283004   -0.003542711   -0.040298154
    2.199114858   -0.001431255   -0.026218712
    2.261946711   -0.000316996   -0.008857361
    2.324778564   -0.000345720    0.009810992
    2.387610417   -0.001531742    0.027614620
    2.450442270   -0.003752939    0.042422708
    2.513274123   -0.006760876    0.052383921
    2.576105976   -0.010205279    0.056140360
    2.638937829   -0.013670565    0.052993621
    2.701769682   -0.016720789    0.043004197
    2.764601535   -0.018948404    0.027012070
    2.827433388   -0.020021709    0.006574272
    2.890265241   -0.019725852   -0.016176316
    2.953097094   -0.017992799   -0.038738410
    3.015928947   -0.014916681   -0.058496407
    3.078760801   -0.010752355   -0.072996226
